,heuristic_param,seed,n_gen,reward,accuracy,variance,update,n_steps_proc,n_steps_acc,n_steps
2692,5,26,195,35.63897434874023,0.15625,249.4271228365064,False,715920,208700,924620
2693,5,26,196,39.149665969427794,0.15625,431.1737678281796,False,719040,208700,927740
2694,5,26,197,-22.60712384226085,0.15625,392.1905275002663,False,722160,208700,930860
2695,5,26,198,-16.701790895941297,0.15625,247.49019515120116,False,725280,208700,933980
2696,5,26,199,39.49299192622629,0.15625,190.8260062402817,False,728400,208700,937100
2697,5,26,200,33.15179268510333,0.15625,360.7918336938834,False,731520,208700,940220
2698,5,26,201,31.873181086764344,0.15625,185.36425303407103,False,734640,208700,943340
2699,5,26,202,-16.334910006418802,0.15625,213.8039150845246,False,737760,208700,946460
2700,5,26,203,30.988879767829825,0.15625,291.36942233801767,False,740880,208700,949580
2701,5,26,204,29.36861680710804,0.15625,137.04972637153327,False,744000,208700,952700
2702,5,26,205,35.27393439836302,0.15625,157.65586965695306,False,747120,208700,955820
2703,5,26,206,16.460958896737303,0.15625,244.453076451368,False,750240,208700,958940
2704,5,26,207,34.69712694956257,0.15625,156.41679881819806,False,753360,208700,962060
2705,5,26,208,25.687365054672096,0.15625,6.443965561199275,False,756480,208700,965180
2706,5,26,209,39.464586460838646,0.15625,308.9188579423374,False,759600,208700,968300
2707,5,26,210,38.9207443981435,0.15625,101.628795799393,False,762720,208700,971420
2708,5,26,211,34.690643995727655,0.15625,69.2302705568528,False,765840,208700,974540
2709,5,26,212,-12.972907847820585,0.15625,64.75717245321479,False,768960,208700,977660
2710,5,26,213,30.700978271002533,0.15625,5.151840443205681,False,772080,208700,980780
2711,5,26,214,28.435159473261024,0.15625,134.0668539818245,False,775200,208700,983900
2712,5,26,215,40.04993956146535,0.15625,50.9628406248544,False,778320,208700,987020
2713,5,26,216,23.59138051386133,0.15625,94.17434365339928,False,781440,208700,990140
2714,5,26,217,40.14698856098888,0.15625,164.74620709635315,False,784560,208700,993260
2715,5,26,218,39.98964456771578,0.26875,11.693265031806684,True,789920,229570,1019490
2716,5,27,1,-127.44586128289522,0.15625,316.88061292518904,True,3120,20870,23990
2717,5,27,2,26.99801406368754,0.15625,351.2275196851574,False,6240,20870,27110
2718,5,27,3,-2.784582879406645,0.15625,222.16392992908703,False,9360,20870,30230
2719,5,27,4,-13.24077954159532,0.15625,340.83905256740576,False,12480,20870,33350
2720,5,27,5,13.355541305165534,0.15625,288.463558433452,False,15600,20870,36470
2721,5,27,6,2.8529468098418884,0.15625,172.22170692213385,False,18720,20870,39590
2722,5,27,7,17.64312455433889,0.15625,252.06785915799887,False,21840,20870,42710
2723,5,27,8,33.05053498222117,0.15625,152.10771950764632,False,24960,20870,45830
2724,5,27,9,-14.366102859798971,0.15625,313.4162697943072,False,28080,20870,48950
2725,5,27,10,-19.939467775138887,0.15625,254.75206062122453,False,31200,20870,52070
2726,5,27,11,9.536080190563654,0.15625,221.39296555076572,False,34320,20870,55190
2727,5,27,12,32.095631712679726,0.15625,96.19162508283344,False,37440,20870,58310
2728,5,27,13,11.63233790293734,0.15625,191.3308096876045,False,40560,20870,61430
2729,5,27,14,19.151775029638635,0.15625,205.24497566428968,False,43680,20870,64550
2730,5,27,15,20.782596192605418,0.15625,120.51312385962557,False,46800,20870,67670
2731,5,27,16,-13.87116944562477,0.15625,264.92593444046605,False,49920,20870,70790
2732,5,27,17,46.46954295371533,0.15625,222.25099166769303,False,53040,20870,73910
2733,5,27,18,22.15263905175299,0.15625,193.3635228349316,False,56160,20870,77030
2734,5,27,19,14.061052291785748,0.15625,146.3155773578549,False,59280,20870,80150
2735,5,27,20,9.6142289481817,0.15625,183.8401314232491,False,62400,20870,83270
2736,5,27,21,21.328528803181804,0.15625,176.08414245158082,False,65520,20870,86390
2737,5,27,22,-22.048370493139764,0.15625,157.8247906429575,False,68640,20870,89510
2738,5,27,23,15.671534070115651,0.15625,97.93230768083586,False,71760,20870,92630
2739,5,27,24,3.820417607073964,0.26875,241.1154222770745,True,77120,41740,118860
2740,5,27,25,-0.0006895266107309,0.26875,167.0579525591058,False,82480,41740,124220
2741,5,27,26,22.201329288567244,0.26875,142.33993346345588,False,87840,41740,129580
2742,5,27,27,17.25471989391533,0.26875,140.1580204565714,False,93200,41740,134940
2743,5,27,28,22.07321296724176,0.26875,112.39390470262316,False,98560,41740,140300
2744,5,27,29,11.803637563034563,0.26875,192.5253047370039,False,103920,41740,145660
2745,5,27,30,16.84227496486775,0.26875,142.223573204897,False,109280,41740,151020
