,heuristic_param,seed,n_gen,reward,accuracy,variance,n_steps_proc,n_steps_acc,n_steps
3648,10,14,43,30.64622695918277,0.15625,33.77225836179768,201600,71610,273210
3649,10,14,44,39.25301262674552,0.15625,209.0231507476604,204720,71610,276330
3650,10,14,45,34.56868686331579,0.15625,10.007670002979824,207840,71610,279450
3651,10,14,46,12.46208753211009,0.15625,87.73633201429315,210960,71610,282570
3652,10,14,47,35.7079363400844,0.15625,28.63253623393674,214080,71610,285690
3653,10,14,48,24.40785067996408,0.15625,37.34041774228705,217200,71610,288810
3654,10,14,49,39.38240469899117,0.15625,144.95898439695566,220320,92480,312800
3655,10,14,50,33.023918765108135,0.15625,20.77214571657629,223440,92480,315920
3656,10,14,51,34.42392758117394,0.15625,107.10083408178484,226560,92480,319040
3657,10,14,52,35.557459231396955,0.15625,34.92179011912211,229680,92480,322160
3658,10,14,53,28.291235981586837,0.15625,71.15750727989403,232800,92480,325280
3659,10,14,54,27.26176278568733,0.15625,66.33742027956423,235920,92480,328400
3660,10,14,55,24.930872433066053,0.15625,109.44630944533304,239040,92480,331520
3661,10,14,56,16.82530109647539,0.15625,47.89229885217247,242160,92480,334640
3662,10,14,57,26.576462373739595,0.15625,12.482530378227205,245280,92480,337760
3663,10,14,58,39.90115252679203,0.15625,203.47149500843275,248400,92480,340880
3664,10,14,59,33.90943682096946,0.15625,76.73330778212166,251520,92480,344000
3665,10,14,60,36.02557921483505,0.15625,211.4612601241369,254640,92480,347120
3666,10,14,61,27.5903965912316,0.15625,65.14251969324815,257760,92480,350240
3667,10,14,62,33.465636163531514,0.15625,18.32670566677552,260880,92480,353360
3668,10,14,63,39.37104973375882,0.15625,10.623896698457116,264000,92480,356480
3669,10,14,64,38.80081449999632,0.15625,11.383991934803552,267120,92480,359600
3670,10,14,65,33.40509736468873,0.15625,85.03470758268251,270240,92480,362720
3671,10,14,66,31.53078340021073,0.15625,50.725840112141285,273360,92480,365840
3672,10,14,67,37.59004176707309,0.15625,59.98934638075036,276480,92480,368960
3673,10,14,68,-58.38035720910932,0.15625,164.3088158912638,279600,92480,372080
3674,10,14,69,36.78538822302118,0.15625,185.75602725090528,282720,92480,375200
3675,10,14,70,27.96177769662988,0.15625,62.76999595267972,285840,113350,399190
3676,10,14,71,39.99016314569418,0.15625,16.979287173806334,288960,113350,402310
3677,10,14,72,8.677736720684603,0.15625,153.74118137143222,292080,113350,405430
3678,10,14,73,35.331202712523385,0.15625,6.242649775449418,295200,113350,408550
3679,10,14,74,37.99936501737266,0.15625,16.069938297167447,298320,113350,411670
3680,10,14,75,39.78371930978567,0.15625,14.312930523474352,301440,113350,414790
3681,10,14,76,41.062436916094704,0.15625,11.18614130341993,304560,113350,417910
3682,10,14,77,12.228118253805947,0.15625,36.34413999338075,307680,113350,421030
3683,10,14,78,17.996121426172685,0.15625,12.210517860030109,310800,113350,424150
3684,10,14,79,28.78044807258784,0.15625,9.663880226794138,313920,113350,427270
3685,10,14,80,13.21347615609344,0.15625,20.79744698402221,317040,113350,430390
3686,10,14,81,33.739485604821326,0.15625,17.021145597847344,320160,113350,433510
3687,10,14,82,38.31143676181742,0.15625,14.225020734997106,323280,113350,436630
3688,10,14,83,40.34643142823026,0.15625,14.7044821139031,326400,113350,439750
3689,10,14,84,15.873625378132854,0.15625,45.01380547482402,329520,113350,442870
3690,10,14,85,40.43791853736154,0.15625,35.463811975108605,332640,113350,445990
3691,10,14,86,37.39013905573148,0.15625,20.704693600335155,335760,113350,449110
3692,10,14,87,38.33414238461701,0.15625,65.45644956650644,338880,113350,452230
3693,10,14,88,36.19623366186632,0.15625,8.909980813575775,342000,113350,455350
3694,10,14,89,36.8164992926449,0.15625,6.3450032041241045,345120,113350,458470
3695,10,14,90,37.51665274833262,0.15625,23.353790536825056,348240,113350,461590
3696,10,14,91,36.86492317058519,0.15625,65.21144670158345,351360,113350,464710
3697,10,14,92,27.311664307574368,0.26875,40.831671054568616,356720,134220,490940
3698,10,14,93,38.74416317569119,0.26875,30.698676741764665,362080,134220,496300
3699,10,14,94,28.427019228253197,0.26875,64.26970203864505,367440,134220,501660
3700,10,14,95,38.33534053628214,0.26875,157.8340147283286,372800,134220,507020
3701,10,14,96,25.085356552634288,0.26875,16.82250841344551,378160,134220,512380
3702,10,14,97,25.23276143560374,0.26875,20.070446947331448,383520,134220,517740
3703,10,14,98,31.391317009939893,0.26875,6.902252227629447,388880,134220,523100
3704,10,14,99,17.46397541956758,0.26875,35.078672983564104,394240,134220,528460
3705,10,14,100,29.992470344355848,0.26875,23.584844278649697,399600,134220,533820
3706,10,14,101,31.333397516842197,0.26875,21.475143987582324,404960,134220,539180
3707,10,14,102,38.98175905122808,0.26875,21.51900568293548,410320,134220,544540
3708,10,14,103,27.46434145572181,0.26875,118.75590120400952,415680,134220,549900
3709,10,14,104,39.91671204540326,0.26875,127.84299588397997,421040,134220,555260
3710,10,14,105,39.358215573676496,0.26875,249.0219502748226,426400,155090,581490
3711,10,14,106,41.64767863146396,0.26875,28.48208862205421,431760,155090,586850
3712,10,14,107,39.48273600194433,0.26875,154.88811793739126,437120,155090,592210
3713,10,14,108,38.53441602035049,0.26875,43.301128125533474,442480,155090,597570
3714,10,14,109,23.46123602473493,0.26875,111.19843704401497,447840,155090,602930
3715,10,14,110,38.12594875248495,0.26875,111.67358616797296,453200,155090,608290
3716,10,14,111,28.93811358626193,0.26875,129.37225992478443,458560,155090,613650
3717,10,14,112,11.96655314021157,0.26875,288.6290863513561,463920,155090,619010
3718,10,14,113,33.836264349680334,0.26875,85.0625678033686,469280,155090,624370
3719,10,14,114,18.508520862891228,0.26875,32.399570958091594,474640,155090,629730
3720,10,14,115,29.983203384080905,0.26875,44.14638240140333,480000,155090,635090
3721,10,14,116,21.469399969099427,0.26875,112.39389279074769,485360,155090,640450
3722,10,14,117,24.44707356682928,0.26875,22.017199214087867,490720,155090,645810
3723,10,14,118,26.255968313591865,0.15625,27.438177316442875,493840,175960,669800
3724,10,14,119,39.97381938157309,0.15625,36.24704360353426,496960,175960,672920
3725,10,14,120,39.59991088606583,0.15625,18.72714906524987,500080,175960,676040
3726,10,14,121,26.976137249680665,0.15625,40.48314814024402,503200,175960,679160
3727,10,14,122,38.02024860477496,0.15625,81.28899084781617,506320,175960,682280
3728,10,14,123,12.828896494387791,0.15625,39.23771281028667,509440,175960,685400
3729,10,14,124,26.776653782171397,0.15625,57.812510085961534,512560,175960,688520
3730,10,14,125,39.53854407012832,0.15625,46.71903192416325,515680,175960,691640
3731,10,14,126,25.84938058016703,0.15625,9.8038956075597,518800,175960,694760
3732,10,14,127,23.286870359060043,0.15625,30.437905086330783,521920,175960,697880
3733,10,14,128,30.64310680619969,0.15625,22.35062892370429,525040,175960,701000
3734,10,14,129,39.77738287589136,0.15625,30.659069038606702,528160,175960,704120
3735,10,14,130,37.37066727738735,0.15625,3.3938188246842858,531280,175960,707240
3736,10,14,131,34.52433387695184,0.15625,13.8357998901311,534400,175960,710360
3737,10,14,132,40.42880703393831,0.15625,17.36634728521927,537520,175960,713480
3738,10,14,133,22.54121757445456,0.15625,7.805790891288241,540640,175960,716600
3739,10,14,134,37.23912375542676,0.15625,18.926979170600703,543760,175960,719720
3740,10,14,135,41.34525182893145,0.15625,21.3463805377337,546880,175960,722840
3741,10,14,136,39.68680568482555,0.15625,19.186744103702928,550000,175960,725960
