,accuracy,n_policy,reward,steps
582,0.5,82,5.3,5.3
583,0.5,83,5.3,5.3
584,0.5,84,42.4,42.4
585,0.5,85,5.1,5.1
586,0.5,86,40.3,40.3
587,0.5,87,12.6,12.6
588,0.5,88,5.0,5.0
589,0.5,89,75.5,75.5
590,0.5,90,5.2,5.2
591,0.5,91,15.1,15.1
592,0.5,92,34.1,34.1
593,0.5,93,8.9,8.9
594,0.5,94,5.1,5.1
595,0.5,95,15.9,15.9
596,0.5,96,5.3,5.3
597,0.5,97,38.1,38.1
598,0.5,98,5.3,5.3
599,0.5,99,52.4,52.4
600,0.4,0,60.9,60.9
601,0.4,1,4.3,4.3
602,0.4,2,4.2,4.2
603,0.4,3,23.9,23.9
604,0.4,4,4.4,4.4
605,0.4,5,4.2,4.2
606,0.4,6,9.5,9.5
607,0.4,7,4.4,4.4
608,0.4,8,52.4,52.4
609,0.4,9,22.3,22.3
610,0.4,10,8.6,8.6
611,0.4,11,4.4,4.4
612,0.4,12,4.2,4.2
613,0.4,13,14.8,14.8
614,0.4,14,4.5,4.5
615,0.4,15,12.0,12.0
616,0.4,16,8.3,8.3
617,0.4,17,28.2,28.2
618,0.4,18,4.4,4.4
619,0.4,19,4.4,4.4
620,0.4,20,8.9,8.9
621,0.4,21,11.9,11.9
622,0.4,22,4.6,4.6
623,0.4,23,5.2,5.2
624,0.4,24,24.7,24.7
625,0.4,25,38.9,38.9
626,0.4,26,115.9,115.9
627,0.4,27,43.1,43.1
628,0.4,28,4.5,4.5
629,0.4,29,4.0,4.0
630,0.4,30,4.6,4.6
631,0.4,31,4.4,4.4
632,0.4,32,4.1,4.1
633,0.4,33,4.3,4.3
634,0.4,34,4.2,4.2
635,0.4,35,28.4,28.4
636,0.4,36,4.4,4.4
637,0.4,37,4.1,4.1
638,0.4,38,36.8,36.8
639,0.4,39,15.9,15.9
640,0.4,40,8.7,8.7
641,0.4,41,6.6,6.6
642,0.4,42,24.2,24.2
643,0.4,43,4.2,4.2
644,0.4,44,9.5,9.5
645,0.4,45,177.7,177.7
646,0.4,46,4.6,4.6
647,0.4,47,10.8,10.8
648,0.4,48,9.1,9.1
649,0.4,49,4.1,4.1
650,0.4,50,5.8,5.8
651,0.4,51,136.7,136.7
652,0.4,52,4.4,4.4
653,0.4,53,16.4,16.4
654,0.4,54,40.3,40.3
655,0.4,55,4.5,4.5
656,0.4,56,4.4,4.4
657,0.4,57,4.3,4.3
658,0.4,58,4.5,4.5
659,0.4,59,4.6,4.6
660,0.4,60,4.3,4.3
661,0.4,61,28.3,28.3
662,0.4,62,4.0,4.0
663,0.4,63,4.4,4.4
664,0.4,64,19.9,19.9
665,0.4,65,8.6,8.6
666,0.4,66,4.4,4.4
667,0.4,67,8.7,8.7
668,0.4,68,14.2,14.2
669,0.4,69,4.4,4.4
670,0.4,70,4.4,4.4
671,0.4,71,4.6,4.6
672,0.4,72,4.3,4.3
673,0.4,73,43.6,43.6
674,0.4,74,4.3,4.3
675,0.4,75,4.3,4.3
676,0.4,76,49.5,49.5
677,0.4,77,9.1,9.1
678,0.4,78,17.2,17.2
679,0.4,79,4.4,4.4
680,0.4,80,4.2,4.2
681,0.4,81,4.2,4.2
682,0.4,82,4.6,4.6
683,0.4,83,4.7,4.7
684,0.4,84,30.7,30.7
685,0.4,85,4.2,4.2
686,0.4,86,26.7,26.7
687,0.4,87,8.5,8.5
688,0.4,88,4.2,4.2
689,0.4,89,49.9,49.9
690,0.4,90,4.4,4.4
691,0.4,91,10.7,10.7
692,0.4,92,29.4,29.4
693,0.4,93,7.1,7.1
694,0.4,94,4.4,4.4
695,0.4,95,13.2,13.2
696,0.4,96,4.6,4.6
697,0.4,97,26.7,26.7
698,0.4,98,4.6,4.6
699,0.4,99,28.3,28.3
700,0.3,0,31.9,31.9
701,0.3,1,3.8,3.8
702,0.3,2,3.7,3.7
703,0.3,3,10.4,10.4
704,0.3,4,3.8,3.8
705,0.3,5,3.7,3.7
706,0.3,6,6.6,6.6
707,0.3,7,3.8,3.8
708,0.3,8,21.5,21.5
709,0.3,9,15.2,15.2
710,0.3,10,5.9,5.9
711,0.3,11,3.8,3.8
712,0.3,12,3.6,3.6
713,0.3,13,9.9,9.9
714,0.3,14,3.9,3.9
715,0.3,15,6.5,6.5
716,0.3,16,6.0,6.0
717,0.3,17,15.7,15.7
718,0.3,18,3.8,3.8
719,0.3,19,3.8,3.8
720,0.3,20,6.0,6.0
721,0.3,21,9.7,9.7
722,0.3,22,4.0,4.0
723,0.3,23,3.7,3.7
724,0.3,24,10.7,10.7
