,corr,train_seed,gen,n_eval,acc,score
198,0.9,3,48,1407000,0.6,0.09465454412070057
199,0.9,3,49,1437000,0.6,0.09187270223552624
200,0.9,4,0,10000,0.2,0.4735277284957338
201,0.9,4,1,32000,0.44999999999999996,0.4591819546055359
202,0.9,4,2,59000,0.5499999999999999,0.25571486562771445
203,0.9,4,3,86000,0.5499999999999999,0.2557447037250255
204,0.9,4,4,113000,0.5499999999999999,0.1912166844427377
205,0.9,4,5,140000,0.5499999999999999,0.13665219400064493
206,0.9,4,6,167000,0.5499999999999999,0.13135089167973008
207,0.9,4,7,194000,0.5499999999999999,0.1172227595229479
208,0.9,4,8,221000,0.5499999999999999,0.1172227595229479
209,0.9,4,9,248000,0.5499999999999999,0.11243956673597513
210,0.9,4,10,275000,0.5499999999999999,0.16908906236661309
211,0.9,4,11,302000,0.5499999999999999,0.11080104721194285
212,0.9,4,12,329000,0.5499999999999999,0.09506229320040373
213,0.9,4,13,356000,0.5499999999999999,0.12257987039284907
214,0.9,4,14,383000,0.5499999999999999,0.12257987039284907
215,0.9,4,15,410000,0.5499999999999999,0.12257987039284907
216,0.9,4,16,437000,0.5499999999999999,0.10407005689214721
217,0.9,4,17,464000,0.5499999999999999,0.10407005689214721
218,0.9,4,18,491000,0.5499999999999999,0.10407005689214721
219,0.9,4,19,518000,0.5499999999999999,0.10407005689214721
220,0.9,4,20,545000,0.5499999999999999,0.10407005689214721
221,0.9,4,21,572000,0.5499999999999999,0.10407005689214721
222,0.9,4,22,599000,0.5499999999999999,0.10407005689214721
223,0.9,4,23,626000,0.5499999999999999,0.10407005689214721
224,0.9,4,24,653000,0.5499999999999999,0.10407005689214721
225,0.9,4,25,680000,0.5499999999999999,0.10407005689214721
226,0.9,4,26,707000,0.5499999999999999,0.10407005689214721
227,0.9,4,27,734000,0.5499999999999999,0.10407005689214721
228,0.9,4,28,761000,0.5499999999999999,0.10407005689214721
229,0.9,4,29,788000,0.5499999999999999,0.10407005689214721
230,0.9,4,30,815000,0.5499999999999999,0.10407005689214721
231,0.9,4,31,842000,0.5499999999999999,0.10407005689214721
232,0.9,4,32,869000,0.5499999999999999,0.10407005689214721
233,0.9,4,33,896000,0.5499999999999999,0.10407005689214721
234,0.9,4,34,923000,0.5499999999999999,0.08687228039873653
235,0.9,4,35,950000,0.5499999999999999,0.10407005689214721
236,0.9,4,36,977000,0.5499999999999999,0.10407005689214721
237,0.9,4,37,1004000,0.5499999999999999,0.10407005689214721
238,0.9,4,38,1031000,0.5499999999999999,0.10407005689214721
239,0.9,4,39,1058000,0.5499999999999999,0.10407005689214721
240,0.9,4,40,1085000,0.5499999999999999,0.10407005689214721
241,0.9,4,41,1112000,0.5499999999999999,0.10407005689214721
242,0.9,4,42,1139000,0.5499999999999999,0.10407005689214721
243,0.9,4,43,1166000,0.5499999999999999,0.10407005689214721
244,0.9,4,44,1193000,0.5499999999999999,0.10407005689214721
245,0.9,4,45,1220000,0.5499999999999999,0.10407005689214721
246,0.9,4,46,1247000,0.5499999999999999,0.10407005689214721
247,0.9,4,47,1274000,0.5499999999999999,0.10407005689214721
248,0.9,4,48,1301000,0.5499999999999999,0.10407005689214721
249,0.9,4,49,1328000,0.5499999999999999,0.10407005689214721
250,0.9,5,0,10000,0.2,0.5133044541872528
251,0.9,5,1,32000,0.44999999999999996,0.504126741623714
252,0.9,5,2,59000,0.5499999999999999,0.3883907637166189
253,0.9,5,3,86000,0.5499999999999999,0.3129343246002934
254,0.9,5,4,113000,0.5499999999999999,0.28391000508118885
255,0.9,5,5,143000,0.6,0.20032210220610078
256,0.9,5,6,173000,0.6,0.1991732024327105
257,0.9,5,7,203000,0.6,0.20595939449232983
258,0.9,5,8,233000,0.6,0.09150698122521884
259,0.9,5,9,263000,0.6,0.09150698122521884
260,0.9,5,10,293000,0.6,0.09150698122521884
261,0.9,5,11,323000,0.6,0.09150698122521884
262,0.9,5,12,353000,0.6,0.08727559645687123
263,0.9,5,13,383000,0.6,0.09150698122521884
264,0.9,5,14,413000,0.6,0.09150698122521884
265,0.9,5,15,443000,0.6,0.09150698122521884
266,0.9,5,16,473000,0.6,0.08727559645687123
267,0.9,5,17,503000,0.6,0.09150698122521884
268,0.9,5,18,533000,0.6,0.09150698122521884
269,0.9,5,19,563000,0.6,0.09150698122521884
270,0.9,5,20,593000,0.6,0.09150698122521884
271,0.9,5,21,623000,0.6,0.09150698122521884
272,0.9,5,22,653000,0.6,0.09150698122521884
273,0.9,5,23,683000,0.6,0.09150698122521884
274,0.9,5,24,713000,0.6,0.09150698122521884
275,0.9,5,25,743000,0.6,0.09150698122521884
276,0.9,5,26,773000,0.6,0.09150698122521884
277,0.9,5,27,803000,0.6,0.09150698122521884
278,0.9,5,28,833000,0.6,0.09150698122521884
279,0.9,5,29,863000,0.6,0.09150698122521884
280,0.9,5,30,893000,0.6,0.09150698122521884
281,0.9,5,31,923000,0.6,0.09150698122521884
282,0.9,5,32,953000,0.6,0.09150698122521884
283,0.9,5,33,983000,0.6,0.09150698122521884
284,0.9,5,34,1013000,0.6,0.09150698122521884
285,0.9,5,35,1043000,0.6,0.09150698122521884
286,0.9,5,36,1073000,0.6,0.09150698122521884
287,0.9,5,37,1103000,0.6,0.09150698122521884
288,0.9,5,38,1133000,0.6,0.09150698122521884
289,0.9,5,39,1163000,0.6,0.09150698122521884
290,0.9,5,40,1193000,0.6,0.09150698122521884
291,0.9,5,41,1223000,0.6,0.09150698122521884
292,0.9,5,42,1253000,0.6,0.09150698122521884
293,0.9,5,43,1283000,0.6,0.09150698122521884
294,0.9,5,44,1313000,0.6,0.09150698122521884
295,0.9,5,45,1343000,0.6,0.09150698122521884
296,0.9,5,46,1373000,0.6,0.09150698122521884
297,0.9,5,47,1403000,0.6,0.09150698122521884
298,0.9,5,48,1433000,0.6,0.09150698122521884
299,0.9,5,49,1463000,0.6,0.09150698122521884
300,0.9,6,0,10000,0.2,0.45733579631812515
301,0.9,6,1,32000,0.44999999999999996,0.362642730947513
302,0.9,6,2,59000,0.5499999999999999,0.362642730947513
303,0.9,6,3,86000,0.5499999999999999,0.39600540438913756
304,0.9,6,4,113000,0.5499999999999999,0.30639644909296754
305,0.9,6,5,140000,0.5499999999999999,0.1511308711699613
306,0.9,6,6,167000,0.5499999999999999,0.11976910717602658
307,0.9,6,7,194000,0.5499999999999999,0.10342625584261929
308,0.9,6,8,221000,0.5499999999999999,0.10388352834942871
309,0.9,6,9,248000,0.5499999999999999,0.10388352834942871
310,0.9,6,10,275000,0.5499999999999999,0.07827628030955716
311,0.9,6,11,302000,0.5499999999999999,0.0711815417070217
312,0.9,6,12,329000,0.5499999999999999,0.0711815417070217
313,0.9,6,13,356000,0.5499999999999999,0.0711815417070217
314,0.9,6,14,383000,0.5499999999999999,0.07199151651699574
315,0.9,6,15,410000,0.5499999999999999,0.07199151651699574
316,0.9,6,16,437000,0.5499999999999999,0.07199151651699574
317,0.9,6,17,464000,0.5499999999999999,0.07199151651699574
318,0.9,6,18,491000,0.5499999999999999,0.0711815417070217
319,0.9,6,19,518000,0.5499999999999999,0.0711815417070217
320,0.9,6,20,545000,0.5499999999999999,0.07199151651699574
321,0.9,6,21,572000,0.5499999999999999,0.07199151651699574
322,0.9,6,22,599000,0.5499999999999999,0.07842435985994697
323,0.9,6,23,626000,0.5499999999999999,0.07842435985994697
