,accuracy,train_seed,n_gen,n_ep,n_steps,reward
3052,0.8,51,14,300,240000,-20.22823092115508
3053,0.8,51,15,320,256000,14.798993788031911
3054,0.8,51,16,340,272000,26.734623197604048
3055,0.8,51,17,360,288000,-25.21624710186326
3056,0.8,51,18,380,304000,12.83171193668242
3057,0.8,51,19,400,320000,28.042083290845664
3058,0.8,51,20,420,336000,36.404466150866696
3059,0.8,51,21,440,352000,28.899180747865152
3060,0.8,51,22,460,368000,-21.76996116115343
3061,0.8,51,23,480,384000,29.46203445654465
3062,0.8,51,24,500,400000,14.905761649511556
3063,0.8,51,25,520,416000,-22.017783411058367
3064,0.8,51,26,540,432000,50.37798770920448
3065,0.8,51,27,560,448000,46.56744845560095
3066,0.8,51,28,580,464000,0.7000484432700104
3067,0.8,51,29,600,480000,46.1451790073772
3068,0.8,51,30,620,496000,23.435749219203743
3069,0.8,51,31,640,512000,28.299904461099448
3070,0.8,51,32,660,528000,54.45977397409631
3071,0.8,51,33,680,544000,26.751329844317315
3072,0.8,51,34,700,560000,-10.086590703725737
3073,0.8,51,35,720,576000,19.21109808081057
3074,0.8,51,36,740,592000,42.26840359843398
3075,0.8,51,37,760,608000,-10.13073956575234
3076,0.8,51,38,780,624000,39.289611169004544
3077,0.8,51,39,800,640000,32.635350292964496
3078,0.8,51,40,820,656000,53.8032806191808
3079,0.8,51,41,840,672000,-23.066696840813574
3080,0.8,51,42,860,688000,22.086016742462604
3081,0.8,51,43,880,704000,-5.163909026932695
3082,0.8,51,44,900,720000,44.733798361110765
3083,0.8,51,45,920,736000,42.25266498969877
3084,0.8,51,46,940,752000,54.48370349690148
3085,0.8,51,47,960,768000,11.440542307820191
3086,0.8,51,48,980,784000,53.528655429647245
3087,0.8,51,49,1000,800000,-21.93024040735928
3088,0.8,51,50,1020,816000,-15.24359182532557
3089,0.8,51,51,1040,832000,48.07492164783133
3090,0.8,51,52,1060,848000,51.82487884709637
3091,0.8,51,53,1080,864000,7.887178571848826
3092,0.8,51,54,1100,880000,39.17621662355758
3093,0.8,51,55,1120,896000,50.19375252928254
3094,0.8,51,56,1140,912000,51.64523138960608
3095,0.8,51,57,1160,928000,52.6450382317192
3096,0.8,51,58,1180,944000,46.70946369758222
3097,0.8,51,59,1200,960000,51.91383420590266
3098,0.8,51,60,1220,976000,32.74527506643446
3099,0.8,51,61,1240,992000,52.68332366534143
3100,0.8,52,0,20,16000,-28.37878401917993
3101,0.8,52,1,40,32000,49.13828689327424
3102,0.8,52,2,60,48000,32.86677024817676
3103,0.8,52,3,80,64000,55.61826685564616
3104,0.8,52,4,100,80000,15.458844364247216
3105,0.8,52,5,120,96000,24.449079172057825
3106,0.8,52,6,140,112000,-12.207522906276676
3107,0.8,52,7,160,128000,27.345143976508183
3108,0.8,52,8,180,144000,-10.648904597023694
3109,0.8,52,9,200,160000,12.952269171852024
3110,0.8,52,10,220,176000,22.067297507575407
3111,0.8,52,11,240,192000,17.83186572097536
3112,0.8,52,12,260,208000,-10.644608083503956
3113,0.8,52,13,280,224000,26.510680264843
3114,0.8,52,14,300,240000,14.931315052679532
3115,0.8,52,15,320,256000,14.208498285972189
3116,0.8,52,16,340,272000,-24.675292170051463
3117,0.8,52,17,360,288000,13.337472219828248
3118,0.8,52,18,380,304000,13.70553495521298
3119,0.8,52,19,400,320000,-18.83793787599121
3120,0.8,52,20,420,336000,0.4439921634446235
3121,0.8,52,21,440,352000,18.31898556877432
3122,0.8,52,22,460,368000,-3.0218043587638905
3123,0.8,52,23,480,384000,27.73551128207344
3124,0.8,52,24,500,400000,33.08475574051327
3125,0.8,52,25,520,416000,31.44106741101148
3126,0.8,52,26,540,432000,-14.830513189085144
3127,0.8,52,27,560,448000,-7.7036812718887715
3128,0.8,52,28,580,464000,104.1405173564148
3129,0.8,52,29,600,480000,7.067553809438756
3130,0.8,52,30,620,496000,28.469659978622936
3131,0.8,52,31,640,512000,12.288648074054905
3132,0.8,52,32,660,528000,-8.084061667328521
3133,0.8,52,33,680,544000,-14.640762496507978
3134,0.8,52,34,700,560000,2.570685689919551
