,N,seed,n_turb,turb_score,eval_score,elapsed_time
280,20,2,4,0.2687671573940143,0.3111091798676935,22.288440704345703
281,20,2,5,0.0,0.3111091798676935,25.42934775352478
282,20,2,6,0.0,0.3111091798676935,28.691418886184692
283,20,2,7,0.0,0.3111091798676935,31.326743841171265
284,20,2,8,0.0,0.3111091798676935,35.42257380485535
285,20,2,9,0.15629299312602332,0.3111091798676935,37.33896851539612
286,20,2,10,0.3594767742489974,0.3541476344101325,42.750449895858765
287,20,2,11,0.0,0.3541476344101325,45.88742756843567
288,20,2,12,0.17752478147871376,0.3541476344101325,47.85693359375
289,20,2,13,0.25841832613680543,0.3541476344101325,51.5897855758667
290,20,2,14,0.30793153258123235,0.3541476344101325,57.55997014045715
291,20,2,15,0.3163883391991114,0.3541476344101325,59.66052579879761
292,20,2,16,0.0,0.3541476344101325,63.387999057769775
293,20,2,17,0.19962618861268677,0.3541476344101325,65.51274156570435
294,20,2,18,0.17586725623209265,0.3541476344101325,70.21926784515381
295,20,2,19,0.0,0.3541476344101325,73.43763136863708
296,20,2,20,0.0,0.3541476344101325,77.6735622882843
297,20,2,21,0.2085782245497704,0.3541476344101325,81.81050252914429
298,20,2,22,0.4525808615626684,0.451935073823663,90.49889278411865
299,20,2,23,0.3661616812700313,0.451935073823663,93.10263919830322
300,20,2,24,0.1735035698338572,0.451935073823663,94.9459958076477
301,20,2,25,0.46217024383484573,0.4647838585400526,99.57437801361084
302,20,2,26,0.017229157801180797,0.4647838585400526,103.97555685043335
303,20,2,27,0.0,0.4647838585400526,106.62036371231079
304,20,2,28,0.0,0.4647838585400526,108.65457224845886
305,20,2,29,0.3718460209759648,0.4647838585400526,110.53952717781067
306,20,2,30,0.010841252111599921,0.4647838585400526,113.04226994514465
307,20,2,31,0.0,0.4647838585400526,115.04396510124207
308,20,2,32,0.0,0.4647838585400526,118.19273281097412
309,20,2,33,0.0,0.4647838585400526,120.03915095329285
310,20,2,34,0.24379778384934075,0.4647838585400526,125.25178956985474
311,20,2,35,0.0,0.4647838585400526,127.10800266265869
312,20,2,36,0.0,0.4647838585400526,128.9241645336151
313,20,2,37,0.0,0.4647838585400526,134.2932846546173
314,20,2,38,0.3880064873878847,0.4647838585400526,139.19860529899597
315,20,2,39,0.3272981453271772,0.4647838585400526,142.6840431690216
316,20,2,40,0.47030778904900294,0.4682334783222802,145.76196384429932
317,20,2,41,0.36579138351025847,0.4682334783222802,150.62194681167603
318,20,2,42,0.16710798648108482,0.4682334783222802,152.69113564491272
319,20,2,43,0.0,0.4682334783222802,156.02036666870117
320,20,2,44,0.29778095828776424,0.4682334783222802,163.70196533203125
321,20,2,45,0.4079773007940707,0.4682334783222802,168.15123891830444
322,20,2,46,0.22203691708314377,0.4682334783222802,175.98779702186584
323,20,2,47,0.0,0.4682334783222802,179.7794427871704
324,20,2,48,0.3634713168981181,0.4682334783222802,184.20599961280823
325,20,2,49,0.3494029896467438,0.4682334783222802,189.4745454788208
326,20,2,50,0.0,0.4682334783222802,191.9037265777588
327,20,2,51,0.3675903606062441,0.4682334783222802,197.72951769828796
328,20,2,52,0.0,0.4682334783222802,199.8289074897766
329,20,2,53,0.0,0.4682334783222802,205.7312626838684
330,20,2,54,0.20115709373525556,0.4682334783222802,207.65632891654968
331,20,2,55,0.0,0.4682334783222802,213.2895050048828
332,20,2,56,0.0,0.4682334783222802,215.93783330917358
333,20,2,57,0.0,0.4682334783222802,218.05685329437256
334,20,2,58,0.0,0.4682334783222802,221.4201376438141
335,20,2,59,0.0,0.4682334783222802,223.31044483184814
336,20,2,60,0.0,0.4682334783222802,226.041109085083
337,20,2,61,0.194720410156201,0.4682334783222802,229.92877769470215
338,20,2,62,0.23278120443325234,0.4682334783222802,235.10917329788208
339,20,2,63,0.0,0.4682334783222802,237.70814394950867
340,20,2,64,0.26329633746260467,0.4682334783222802,240.02130794525146
341,20,2,65,0.0,0.4682334783222802,241.8747856616974
342,20,2,66,0.3678635753339091,0.4682334783222802,245.17782163619995
343,20,2,67,0.46752502946116886,0.4682334783222802,249.0720603466034
344,20,2,68,0.20008304011755365,0.4682334783222802,253.7445192337036
345,20,2,69,0.40994987199148486,0.4682334783222802,258.5459134578705
346,20,2,70,0.47144295145587223,0.4710601799720221,258.99156522750854
347,20,2,71,0.0,0.4710601799720221,261.61251497268677
348,20,2,72,0.0,0.4710601799720221,263.60485577583313
349,20,2,73,0.24134101218585802,0.4710601799720221,271.5304491519928
350,20,2,74,0.0,0.4710601799720221,274.10316729545593
351,20,2,75,0.26283108491105595,0.4710601799720221,276.7656178474426
352,20,2,76,0.3278616822422889,0.4710601799720221,279.1733183860779
353,20,2,77,0.1725517713985556,0.4710601799720221,281.882301568985
354,20,2,78,0.4995638504789684,0.4992442175672328,283.23968982696533
355,20,2,79,0.4709130704905778,0.4992442175672328,289.10839772224426
356,20,2,80,0.17323566224458392,0.4992442175672328,290.9912374019623
357,20,2,81,0.48802457333625493,0.4992442175672328,293.9435877799988
358,20,2,82,0.012511669152716481,0.4992442175672328,297.3539471626282
359,20,2,83,0.3115479409334153,0.4992442175672328,300.05456590652466
360,20,2,84,0.01194464083082589,0.4992442175672328,301.9285614490509
361,20,2,85,0.0,0.4992442175672328,305.55288577079773
362,20,2,86,0.015601218213278329,0.4992442175672328,311.77816939353943
363,20,2,87,0.31111595896197797,0.4992442175672328,313.6872339248657
364,20,2,88,0.19388545959940504,0.4992442175672328,316.1396253108978
365,20,2,89,0.48540760838182606,0.4992442175672328,318.5963761806488
366,20,2,90,0.0,0.4992442175672328,321.9286963939667
367,20,2,91,0.013735358834296276,0.4992442175672328,325.7822496891022
368,20,2,92,0.0,0.4992442175672328,328.67128109931946
369,20,2,93,0.0,0.4992442175672328,332.9089961051941
370,20,2,94,0.18374101085415984,0.4992442175672328,336.18026781082153
371,20,2,95,0.3562261808023738,0.4992442175672328,340.77291679382324
372,20,2,96,0.27671477423739177,0.4992442175672328,345.3102605342865
373,20,2,97,0.47515448649201575,0.4992442175672328,349.73417353630066
374,20,2,98,0.0,0.4992442175672328,352.02094864845276
375,20,2,99,0.0,0.4992442175672328,353.9558448791504
376,20,2,100,0.0,0.4992442175672328,358.7726409435272
377,20,2,101,0.2445153728102456,0.4992442175672328,365.7828845977783
378,20,2,102,0.18023048377120537,0.4992442175672328,368.263792514801
379,20,2,103,0.0,0.4992442175672328,372.40256428718567
380,20,2,104,0.17550877914074134,0.4992442175672328,378.0752818584442
381,20,2,105,0.0,0.4992442175672328,381.7350356578827
382,20,2,106,0.0,0.4992442175672328,386.77100706100464
383,20,2,107,0.3986380806380211,0.4992442175672328,390.5398209095001
384,20,2,108,0.0,0.4992442175672328,392.3184914588928
385,20,2,109,0.015976714600574194,0.4992442175672328,395.71276450157166
386,20,2,110,0.28222188878697896,0.4992442175672328,397.4671380519867
387,20,2,111,0.4685883755077993,0.4992442175672328,402.36854338645935
388,20,2,112,0.19973211843555413,0.4992442175672328,406.658243894577
389,20,2,113,0.0,0.4992442175672328,413.56001377105713
390,20,2,114,0.0,0.4992442175672328,415.6735634803772
391,20,2,115,0.3382067698706813,0.4992442175672328,417.9520173072815
392,20,2,116,0.3091119687339628,0.4992442175672328,420.96097922325134
393,20,2,117,0.0,0.4992442175672328,423.2493555545807
394,20,2,118,0.006512993788896311,0.4992442175672328,425.127653837204
395,20,2,119,0.4620640250002082,0.4992442175672328,428.7416639328003
396,20,2,120,0.0,0.4992442175672328,430.8133680820465
397,20,2,121,0.4157852054716838,0.4992442175672328,434.8093602657318
398,20,2,122,0.20839957144876098,0.4992442175672328,437.3178901672363
399,20,2,123,0.0,0.4992442175672328,441.15062975883484
400,20,2,124,0.0,0.4992442175672328,443.8196859359741
