,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
6281,"[5, 3]",39,,0.5694973113749142,False,0.49375,34,3.552713678800501e-17,12.20512318611145,0.3265087604522705,717000,57057,774057
6282,"[5, 3]",39,,7.992225979719391,False,0.49375,35,3.552713678800501e-17,12.536631107330322,0.3312575817108154,741000,57057,798057
6283,"[5, 3]",39,,0.5911130957682681,True,0.60625,36,3.552713678800501e-17,12.915424585342407,0.3785521984100342,771000,68453,839453
6284,"[5, 3]",39,,0.6045994169418646,False,0.60625,37,3.552713678800501e-17,13.246964931488035,0.3312888145446777,801000,68453,869453
6285,"[5, 3]",39,,2.5736620256462355,False,0.60625,38,3.552713678800501e-17,13.580535173416138,0.3333284854888916,831000,68453,899453
6286,"[5, 3]",39,,9.099113680206468,False,0.60625,39,3.552713678800501e-17,13.909067392349243,0.328282356262207,861000,68453,929453
6287,"[5, 3]",39,,0.5317650383585429,True,0.49375,40,3.552713678800501e-17,14.288646697998049,0.3793296813964844,885000,77231,962231
6288,"[5, 3]",39,,1.059143395658926,False,0.49375,41,3.552713678800501e-17,14.622608661651611,0.3337090015411377,909000,77231,986231
6289,"[5, 3]",39,,0.4493157393386952,False,0.49375,42,3.552713678800501e-17,14.953071117401125,0.3302137851715088,933000,77231,1010231
6290,"[5, 3]",40,0.95,4878309.866912964,True,0.49375,0,0.3676758435850467,0.626145601272583,0.6259210109710693,24000,8778,32778
6291,"[5, 3]",40,,724.6013720920834,False,0.49375,1,0.3709671111371989,0.992439031600952,0.3660938739776611,48000,8778,56778
6292,"[5, 3]",40,,2.2905267319803437,False,0.49375,2,0.2800106631563107,1.3274993896484375,0.3348159790039062,72000,8778,80778
6293,"[5, 3]",40,,3.755980858487901,False,0.49375,3,0.3210937595716483,1.6476013660430908,0.3198294639587402,96000,8778,104778
6294,"[5, 3]",40,,6.158651313232995,False,0.49375,4,0.2215990085506579,1.964507818222046,0.316636323928833,120000,8778,128778
6295,"[5, 3]",40,,2.072800554797035,False,0.49375,5,0.0433579931973972,2.294735908508301,0.3299455642700195,144000,8778,152778
6296,"[5, 3]",40,,36.34280380208254,False,0.49375,6,0.0433579931973972,2.6334447860717773,0.33843994140625,168000,8778,176778
6297,"[5, 3]",40,,28.725705648763935,False,0.49375,7,4.6629367034256567e-17,2.9708940982818604,0.3371808528900146,192000,8778,200778
6298,"[5, 3]",40,,45.01011435777084,False,0.49375,8,4.6629367034256567e-17,3.3726418018341064,0.4014871120452881,216000,8778,224778
6299,"[5, 3]",40,,14.31378232447478,True,0.60625,9,4.6629367034256567e-17,3.816017389297485,0.443120002746582,246000,20174,266174
6300,"[5, 3]",40,,6.316153012396065,False,0.60625,10,4.6629367034256567e-17,4.16455602645874,0.3482942581176758,276000,20174,296174
6301,"[5, 3]",40,,3.852510383448245,False,0.60625,11,4.6629367034256567e-17,4.507161378860474,0.3423569202423095,306000,20174,326174
6302,"[5, 3]",40,,10.060758359259584,False,0.60625,12,4.6629367034256567e-17,4.856563568115234,0.3491339683532715,336000,20174,356174
6303,"[5, 3]",40,,17.139392875383994,False,0.60625,13,4.6629367034256567e-17,5.201258182525635,0.3444454669952392,366000,20174,386174
6304,"[5, 3]",40,,4.991764547836774,False,0.60625,14,4.6629367034256567e-17,5.5436787605285645,0.3421320915222168,396000,20174,416174
6305,"[5, 3]",40,,2.5457547358620074,False,0.60625,15,4.6629367034256567e-17,5.881070137023926,0.3371224403381347,426000,20174,446174
6306,"[5, 3]",40,,12.981199675356518,False,0.60625,16,4.6629367034256567e-17,6.219346523284912,0.3380270004272461,456000,20174,476174
6307,"[5, 3]",40,,1.5796572952053765,False,0.60625,17,4.6629367034256567e-17,6.553675651550293,0.3340234756469726,486000,20174,506174
6308,"[5, 3]",40,,0.6841228866923895,False,0.60625,18,4.6629367034256567e-17,6.895622968673706,0.3416969776153564,516000,20174,536174
6309,"[5, 3]",40,,4.945699766071097,False,0.60625,19,4.6629367034256567e-17,7.231940507888794,0.3360896110534668,546000,20174,566174
6310,"[5, 3]",40,,0.5177664178136844,False,0.60625,20,4.6629367034256567e-17,7.561264514923096,0.3290708065032959,576000,20174,596174
6311,"[5, 3]",40,,9.213664962130345,False,0.60625,21,4.6629367034256567e-17,7.896929502487183,0.3354225158691406,606000,20174,626174
6312,"[5, 3]",40,,0.7891851878700754,False,0.60625,22,4.6629367034256567e-17,8.231940507888794,0.3347716331481933,636000,20174,656174
6313,"[5, 3]",40,,0.4550181472187745,False,0.60625,23,4.6629367034256567e-17,8.567148447036743,0.3349769115447998,666000,20174,686174
6314,"[5, 3]",40,,0.5113332123603126,False,0.60625,24,4.6629367034256567e-17,8.896914958953857,0.3295352458953857,696000,20174,716174
6315,"[5, 3]",40,,0.4366545004750266,False,0.60625,25,4.6629367034256567e-17,9.239641666412354,0.3424780368804931,726000,20174,746174
6316,"[5, 3]",40,,0.7646821733458635,False,0.60625,26,4.6629367034256567e-17,9.61812162399292,0.3782298564910888,756000,20174,776174
6317,"[5, 3]",40,,0.5017158881374005,False,0.60625,27,4.6629367034256567e-17,9.948834896087646,0.3304448127746582,786000,20174,806174
6318,"[5, 3]",40,,0.5466678348359283,False,0.60625,28,4.6629367034256567e-17,10.293142557144163,0.3440706729888916,816000,20174,836174
6319,"[5, 3]",40,,0.5553643947566961,False,0.60625,29,4.6629367034256567e-17,10.62869954109192,0.3352992534637451,846000,20174,866174
6320,"[5, 3]",40,,0.420679120436274,False,0.60625,30,4.6629367034256567e-17,10.962728023529053,0.3337841033935547,876000,20174,896174
6321,"[5, 3]",40,,0.4205004189976135,False,0.60625,31,4.6629367034256567e-17,11.295826196670532,0.3328468799591064,906000,20174,926174
6322,"[5, 3]",40,,0.5431142449554046,False,0.60625,32,4.6629367034256567e-17,11.633589267730711,0.3375089168548584,936000,20174,956174
6323,"[5, 3]",40,,0.5444411619586306,False,0.60625,33,4.6629367034256567e-17,11.966684818267822,0.3328375816345215,966000,20174,986174
6324,"[5, 3]",40,,87935.63571085509,False,0.60625,34,4.6629367034256567e-17,12.304158210754396,0.3372232913970947,996000,20174,1016174
6325,"[5, 3]",41,0.95,43483091.64294061,True,0.26875,0,0.4171688360524028,0.6454846858978271,0.6452739238739014,13000,7931,20931
6326,"[5, 3]",41,,6868.7226478972525,False,0.26875,1,0.2328359255226613,1.0177366733551023,0.3719723224639892,26000,7931,33931
6327,"[5, 3]",41,,241.5307338650043,False,0.26875,2,0.4563976129530233,1.3467903137207031,0.3288061618804931,39000,7931,46931
6328,"[5, 3]",41,,3.637684874818535,False,0.26875,3,0.2806989135777744,1.6627933979034424,0.3157875537872314,52000,7931,59931
6329,"[5, 3]",41,,18.180484744322136,False,0.26875,4,0.1805948533120782,2.002431631088257,0.3393728733062744,65000,7931,72931
6330,"[5, 3]",41,,9.966334877413678,False,0.26875,5,0.1805948533120782,2.3222203254699707,0.3194894790649414,78000,7931,85931
6331,"[5, 3]",41,,0.8105463464301171,False,0.26875,6,0.1805948533120782,2.63442325592041,0.3119118213653564,91000,7931,98931
6332,"[5, 3]",41,,13.78903764013124,False,0.26875,7,0.1805948533120782,2.9692604541778564,0.3345527648925781,104000,7931,111931
6333,"[5, 3]",41,,18.4375963953218,False,0.26875,8,0.0977827436623493,3.3392693996429443,0.3697130680084228,117000,7931,124931
6334,"[5, 3]",41,,29.86164403716344,False,0.26875,9,0.100764239881181,3.706828832626343,0.3672747611999511,130000,7931,137931
6335,"[5, 3]",41,,26.287403112346254,True,0.49375,10,0.100764239881181,4.179713249206543,0.4725203514099121,154000,16709,170709
6336,"[5, 3]",41,,28.476720197475395,False,0.49375,11,0.100764239881181,4.589499950408936,0.4094858169555664,178000,16709,194709
6337,"[5, 3]",41,,88.3902205883221,False,0.49375,12,0.100764239881181,4.9597718715667725,0.3699824810028076,202000,16709,218709
6338,"[5, 3]",41,,34.01284478654291,True,0.60625,13,0.0977827436623493,5.44655966758728,0.4865074157714844,232000,28105,260105
6339,"[5, 3]",41,,16745.765711894997,False,0.60625,14,0.0977827436623493,5.816815376281738,0.369985818862915,262000,28105,290105
6340,"[5, 3]",41,,64.8913102358813,False,0.60625,15,0.0977827436623493,6.177288293838501,0.3601891994476318,292000,28105,320105
6341,"[5, 3]",41,,62.92226396472482,False,0.60625,16,0.0977827436623493,6.546475887298584,0.3689088821411133,322000,28105,350105
6342,"[5, 3]",41,,44.86371317129211,False,0.60625,17,0.0977827436623493,6.911368846893311,0.3646278381347656,352000,28105,380105
6343,"[5, 3]",41,,27.55586697408665,False,0.60625,18,0.0977827436623493,7.272933721542358,0.3612799644470215,382000,28105,410105
6344,"[5, 3]",41,,35.45529927009019,False,0.60625,19,0.0977827436623493,7.6355555057525635,0.3623557090759277,412000,28105,440105
6345,"[5, 3]",41,,28.17598558822764,False,0.60625,20,0.0977827436623493,7.999826669692993,0.3639886379241943,442000,28105,470105
6346,"[5, 3]",41,,24.878481108087577,False,0.60625,21,0.0977827436623493,8.369937419891357,0.3698313236236572,472000,28105,500105
6347,"[5, 3]",41,,34.9241524054869,False,0.60625,22,0.0977827436623493,8.730497121810913,0.3602759838104248,502000,28105,530105
6348,"[5, 3]",41,,34.26062502879173,False,0.60625,23,0.0977827436623493,9.094059705734251,0.36328125,532000,28105,560105
6349,"[5, 3]",41,,24.267040784018945,False,0.60625,24,0.0977827436623493,9.457517147064207,0.3631832599639892,562000,28105,590105
6350,"[5, 3]",41,,28.292138395308093,False,0.60625,25,0.0977827436623493,9.826616287231444,0.3688230514526367,592000,28105,620105
6351,"[5, 3]",41,,25.752265434798037,False,0.60625,26,0.0977827436623493,10.187686204910278,0.360774278640747,622000,28105,650105
6352,"[5, 3]",41,,42.89015688364336,False,0.60625,27,0.0977827436623493,10.54971981048584,0.3617501258850097,652000,28105,680105
6353,"[5, 3]",41,,31.37751341899832,True,0.49375,28,0.0977827436623493,11.010526180267334,0.4605147838592529,676000,36883,712883
6354,"[5, 3]",41,,64.90551078444699,False,0.49375,29,0.0977827436623493,11.380608797073364,0.3697960376739502,700000,36883,736883
6355,"[5, 3]",41,,52.23013656637579,True,0.49375,30,0.0977827436623493,11.891149759292604,0.5102412700653076,724000,45661,769661
6356,"[5, 3]",41,,36.3877338742389,False,0.49375,31,0.0977827436623493,12.26120924949646,0.3697435855865478,748000,45661,793661
6357,"[5, 3]",41,,35.03709994131554,False,0.49375,32,0.0977827436623493,12.632220268249512,0.370713472366333,772000,45661,817661
6358,"[5, 3]",41,,23.699233288467404,False,0.49375,33,0.0977827436623493,13.010435819625854,0.3779282569885254,796000,45661,841661
6359,"[5, 3]",41,,40.28255464720687,False,0.49375,34,0.0977827436623493,13.380601644515991,0.3698773384094238,820000,45661,865661
6360,"[5, 3]",41,,22.848441755600017,False,0.49375,35,0.0977827436623493,13.74887728691101,0.3679919242858886,844000,45661,889661
6361,"[5, 3]",41,,28.270451737895357,False,0.49375,36,0.0977827436623493,14.117636680603027,0.3684713840484619,868000,45661,913661
6362,"[5, 3]",41,,33.67899115076124,False,0.49375,37,0.0977827436623493,14.490328073501589,0.3723928928375244,892000,45661,937661
6363,"[5, 3]",41,,12.25990684589762,False,0.49375,38,0.0977827436623493,14.861244440078735,0.3706326484680176,916000,45661,961661
6364,"[5, 3]",41,,30.64024312338324,True,0.49375,39,0.0551035637104161,15.319040775299072,0.457451581954956,940000,54439,994439
6365,"[5, 3]",41,,33.41636682289457,False,0.49375,40,0.0551035637104161,15.684744119644163,0.3653955459594726,964000,54439,1018439
6366,"[5, 3]",42,0.95,7426918847831.657,True,0.38125,0,0.5204694877001392,0.6221225261688232,0.6219160556793213,19000,8778,27778
6367,"[5, 3]",42,,3191.491189884455,False,0.38125,1,0.3286125580173093,0.990147829055786,0.3677949905395508,38000,8778,46778
6368,"[5, 3]",42,,7.835886853848707,False,0.38125,2,0.1076702921268568,1.3146216869354248,0.3241355419158935,57000,8778,65778
6369,"[5, 3]",42,,1.133538312731588,False,0.38125,3,0.0861507564342118,1.6323740482330322,0.3174648284912109,76000,8778,84778
6370,"[5, 3]",42,,4.937153918742508,False,0.38125,4,0.077253194508429,1.9708349704742432,0.3381714820861816,95000,8778,103778
6371,"[5, 3]",42,,5.3326643679300325,False,0.38125,5,0.0528306552806685,2.361732721328736,0.3906397819519043,114000,8778,122778
6372,"[5, 3]",42,,9.907753830590869,False,0.38125,6,0.0257119554157921,2.7565853595733643,0.3945624828338623,133000,8778,141778
6373,"[5, 3]",42,,14.389950112788211,False,0.38125,7,0.0100018704738669,3.1537368297576904,0.396843671798706,152000,8778,160778
6374,"[5, 3]",42,,36.99911568888429,True,0.15625,8,0.0097220857781406,3.6958327293396,0.541790246963501,159000,16709,175709
6375,"[5, 3]",42,,35.63251597201476,True,0.15625,9,0.0122591619124825,4.171991586685181,0.475900650024414,166000,24640,190640
6376,"[5, 3]",42,,14.858993845741711,False,0.15625,10,0.0122591619124825,4.530373573303223,0.3580925464630127,173000,24640,197640
6377,"[5, 3]",42,,10.236336892797528,False,0.15625,11,0.0122591619124825,4.879191875457764,0.3485558032989502,180000,24640,204640
6378,"[5, 3]",42,,3.946273626603744,False,0.15625,12,0.0308791415641749,5.2226176261901855,0.3431520462036133,187000,24640,211640
6379,"[5, 3]",42,,2.885622480062447,False,0.15625,13,0.0203360485485756,5.564709186553955,0.3418269157409668,194000,24640,218640
6380,"[5, 3]",42,,0.1157185724898435,False,0.15625,14,0.0293632521028034,5.90439772605896,0.3393938541412353,201000,24640,225640
6381,"[5, 3]",42,,0.1776453283158336,False,0.15625,15,0.0293632521028034,6.248576402664185,0.3438961505889892,208000,24640,232640
6382,"[5, 3]",42,,0.1413838667887037,False,0.15625,16,0.0122591619124825,6.590024709701538,0.3412036895751953,215000,24640,239640
6383,"[5, 3]",42,,0.1325445547417392,False,0.15625,17,0.0293632521028034,6.924551248550415,0.3342378139495849,222000,24640,246640
6384,"[5, 3]",42,,0.1278983673536039,False,0.15625,18,0.0316296698614021,7.259655952453613,0.3348329067230224,229000,24640,253640
6385,"[5, 3]",42,,0.1388388810149808,False,0.15625,19,0.0298378135884553,7.59122896194458,0.3312950134277344,236000,24640,260640
6386,"[5, 3]",42,,0.1854658059043007,False,0.15625,20,0.0122591619124825,7.912813663482666,0.3213222026824951,243000,24640,267640
6387,"[5, 3]",42,,0.1450457918581503,True,0.49375,21,0.0110321236733552,8.28838324546814,0.3753397464752197,267000,33418,300418
6388,"[5, 3]",42,,0.1952735391831823,False,0.49375,22,0.0110321236733552,8.61432147026062,0.3257040977478027,291000,33418,324418
6389,"[5, 3]",42,,0.2125108183375091,False,0.49375,23,0.0110321236733552,8.93871521949768,0.3241646289825439,315000,33418,348418
6390,"[5, 3]",42,,0.6386742303587473,False,0.49375,24,0.0110321236733552,9.2664155960083,0.3274681568145752,339000,33418,372418
6391,"[5, 3]",42,,0.1522183328633373,True,0.49375,25,0.0110321236733552,9.639912128448486,0.3732609748840332,363000,42196,405196
6392,"[5, 3]",42,,1.5716807892348932,False,0.49375,26,0.0110321236733552,10.006164073944092,0.3660249710083008,387000,42196,429196
6393,"[5, 3]",42,,0.1769857058098347,False,0.49375,27,0.0110321236733552,10.335184574127195,0.32879638671875,411000,42196,453196
6394,"[5, 3]",42,,0.1609936757160495,False,0.49375,28,0.0110321236733552,10.667931079864502,0.3324944972991943,435000,42196,477196
6395,"[5, 3]",42,,0.1591796012136352,False,0.49375,29,0.01031798197653,10.992841243743896,0.3246715068817138,459000,42196,501196
6396,"[5, 3]",42,,0.16255596537818,False,0.49375,30,0.01031798197653,11.333914279937744,0.3408350944519043,483000,42196,525196
6397,"[5, 3]",42,,0.3109496454433803,False,0.49375,31,0.01031798197653,11.663360834121704,0.3291962146759033,507000,42196,549196
6398,"[5, 3]",42,,0.1536315299247202,False,0.49375,32,0.01031798197653,11.989763736724854,0.3261551856994629,531000,42196,573196
6399,"[5, 3]",42,,0.5773017068911015,False,0.49375,33,0.01031798197653,12.326574325561523,0.3365721702575683,555000,42196,597196
