,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
962,0.8,10,,,False,0.15625,46,0.1176325657508618,16.43402123451233,0.3808839321136474,699000,75614,774614
963,0.8,10,,,False,0.15625,47,0.2610167355493371,16.800031185150146,0.3656761646270752,706000,75614,781614
964,0.8,10,,,False,0.15625,48,0.1506124411429838,17.20805597305298,0.4077281951904297,713000,75614,788614
965,0.8,10,,,False,0.15625,49,0.1506124411429838,17.576797485351562,0.3684499263763428,720000,75614,795614
966,0.8,10,,,False,0.15625,50,0.1506124411429838,17.939131021499634,0.3620576858520508,727000,75614,802614
967,0.8,10,,,False,0.15625,51,0.1506124411429838,18.304199934005737,0.3647198677062988,734000,75614,809614
968,0.8,10,,,True,0.15625,52,0.1506124411429838,18.711360692977905,0.4068751335144043,741000,83545,824545
969,0.8,10,,,False,0.15625,53,0.1506124411429838,19.07539939880371,0.3637483119964599,748000,83545,831545
970,0.8,10,,,False,0.15625,54,0.2973765109087922,19.43074631690979,0.3550381660461426,755000,83545,838545
971,0.8,10,,,False,0.15625,55,0.2592649323235879,19.79682183265686,0.3657593727111816,762000,83545,845545
972,0.8,10,,,False,0.15625,56,0.2592649323235879,20.14898157119751,0.3518438339233398,769000,83545,852545
973,0.8,10,,,False,0.15625,57,0.2592649323235879,20.50454568862915,0.3552529811859131,776000,83545,859545
974,0.8,10,,,False,0.15625,58,0.2592649323235879,20.86496138572693,0.3601014614105224,783000,83545,866545
975,0.8,10,,,False,0.15625,59,0.2592649323235879,21.22392606735229,0.3586254119873047,790000,83545,873545
976,0.8,10,,,False,0.15625,60,0.2592649323235879,21.600867748260494,0.376610517501831,797000,83545,880545
977,0.8,10,,,True,0.15625,61,0.2592649323235879,21.999194622039795,0.3979852199554443,804000,91476,895476
978,0.8,10,,,False,0.15625,62,0.2592649323235879,22.365793466567997,0.3662953376770019,811000,91476,902476
979,0.8,10,,,False,0.15625,63,0.2315105927716959,22.726361513137817,0.3602590560913086,818000,91476,909476
980,0.8,10,,,False,0.15625,64,0.2315105927716959,23.086668491363525,0.3599996566772461,825000,91476,916476
981,0.8,10,,,False,0.15625,65,0.2315105927716959,23.455009937286377,0.3680341243743896,832000,91476,923476
982,0.8,10,,,False,0.15625,66,0.2315105927716959,23.81376886367798,0.3584375381469726,839000,91476,930476
983,0.8,10,,,False,0.15625,67,0.3811711458734368,24.226048469543457,0.4119307994842529,846000,91476,937476
984,0.8,10,,,False,0.15625,68,0.339014637054675,24.59603238105774,0.3696210384368896,853000,91476,944476
985,0.8,10,,,False,0.15625,69,0.2458857581050688,24.973533391952515,0.3771934509277344,860000,91476,951476
986,0.8,10,,,True,0.15625,70,0.3479149257748035,25.40048456192017,0.4265780448913574,867000,99407,966407
987,0.8,10,,,False,0.15625,71,0.3479149257748035,25.7898428440094,0.3889851570129394,874000,99407,973407
988,0.8,10,,,False,0.15625,72,0.3530538497676347,26.191153526306152,0.400933027267456,881000,99407,980407
989,0.8,10,,,False,0.15625,73,0.3530538497676347,26.58525967597961,0.3937323093414306,888000,99407,987407
990,0.8,10,,,False,0.15625,74,0.3479149257748035,26.99984860420227,0.414215087890625,895000,99407,994407
991,0.8,10,,,False,0.15625,75,0.4109423020020017,27.394924879074097,0.3947165012359619,902000,99407,1001407
992,0.8,11,0.95,1561648618.1125855,True,0.26875,0,0.5496559433239255,0.6432466506958008,0.6430387496948242,13000,7931,20931
993,0.8,11,,,False,0.26875,1,0.4584325727631285,1.008512258529663,0.3650248050689697,26000,7931,33931
994,0.8,11,,,False,0.26875,2,0.2772361081021829,1.3276119232177734,0.3188714981079101,39000,7931,46931
995,0.8,11,,,False,0.26875,3,0.2772361081021829,1.6375064849853516,0.3096530437469482,52000,7931,59931
996,0.8,11,,,False,0.26875,4,0.4040007716506637,1.9560837745666504,0.3183412551879883,65000,7931,72931
997,0.8,11,,,True,0.26875,5,0.404971600119386,2.294869899749756,0.3385710716247558,78000,15862,93862
998,0.8,11,,,False,0.26875,6,0.404971600119386,2.6094956398010254,0.3144009113311767,91000,15862,106862
999,0.8,11,,,False,0.26875,7,0.3847200822151377,2.926785945892334,0.3170950412750244,104000,15862,119862
1000,0.8,11,,,False,0.26875,8,0.3799602431162666,3.2446324825286865,0.3176078796386719,117000,15862,132862
1001,0.8,11,,,False,0.26875,9,0.3799602431162666,3.5715115070343018,0.3266477584838867,130000,15862,145862
1002,0.8,11,,,True,0.15625,10,0.441316450831663,3.934361696243286,0.3626368045806885,137000,23793,160793
1003,0.8,11,,,False,0.15625,11,0.4392776037942553,4.306704759597778,0.3718116283416748,144000,23793,167793
1004,0.8,11,,,False,0.15625,12,0.4606807446230647,4.663553237915039,0.3564798831939697,151000,23793,174793
1005,0.8,11,,,False,0.15625,13,0.5386562257963707,5.083110809326172,0.4192948341369629,158000,23793,181793
1006,0.8,11,,,False,0.15625,14,0.4021886828865724,5.444101333618164,0.3607223033905029,165000,23793,188793
1007,0.8,11,,,False,0.15625,15,0.4021886828865724,5.809051752090454,0.3646829128265381,172000,23793,195793
1008,0.8,11,,,False,0.15625,16,0.4021886828865724,6.174141645431519,0.3648569583892822,179000,23793,202793
1009,0.8,11,,,False,0.15625,17,0.4021886828865724,6.489898443222046,0.3155288696289062,186000,23793,209793
1010,0.8,11,,,False,0.15625,18,0.4021886828865724,6.804082155227661,0.3139436244964599,193000,23793,216793
1011,0.8,11,,,True,0.15625,19,0.4021886828865724,7.153063058853149,0.3487510681152344,200000,31724,231724
1012,0.8,11,,,False,0.15625,20,0.4021886828865724,7.491378784179687,0.3380742073059082,207000,31724,238724
1013,0.8,11,,,False,0.15625,21,0.4021886828865724,7.808583736419678,0.3169589042663574,214000,31724,245724
1014,0.8,11,,,False,0.15625,22,0.4021886828865724,8.124205112457275,0.3153860569000244,221000,31724,252724
1015,0.8,11,,,False,0.15625,23,0.4021886828865724,8.441518545150757,0.3170781135559082,228000,31724,259724
1016,0.8,11,,,False,0.15625,24,0.4021886828865724,8.76026964187622,0.3185098171234131,235000,31724,266724
1017,0.8,11,,,False,0.15625,25,0.4021886828865724,9.078588962554932,0.3180758953094482,242000,31724,273724
1018,0.8,11,,,False,0.15625,26,0.4021886828865724,9.402203559875488,0.3233745098114013,249000,31724,280724
1019,0.8,11,,,False,0.15625,27,0.4021886828865724,9.72661828994751,0.324155330657959,256000,31724,287724
1020,0.8,11,,,True,0.49375,28,0.3684178249168067,10.08721923828125,0.3603558540344238,280000,40502,320502
1021,0.8,11,,,False,0.49375,29,0.3684178249168067,10.453497409820557,0.3660376071929931,304000,40502,344502
1022,0.8,11,,,False,0.49375,30,0.3220713756814232,10.779219150543211,0.3254928588867187,328000,40502,368502
1023,0.8,11,,,False,0.49375,31,0.3256387500817286,11.1002094745636,0.320742130279541,352000,40502,392502
1024,0.8,11,,,True,0.15625,32,0.3815310341402326,11.473582983016968,0.3730943202972412,359000,48433,407433
1025,0.8,11,,,False,0.15625,33,0.4021886828865724,11.805500030517578,0.3316640853881836,366000,48433,414433
1026,0.8,11,,,False,0.15625,34,0.4633983644978279,12.125784635543823,0.320035457611084,373000,48433,421433
1027,0.8,11,,,False,0.15625,35,0.4540245170525205,12.451552629470823,0.325479507446289,380000,48433,428433
1028,0.8,11,,,False,0.15625,36,0.4021886828865724,12.776761293411257,0.3249506950378418,387000,48433,435433
1029,0.8,11,,,False,0.15625,37,0.4021886828865724,13.106229066848757,0.3292107582092285,394000,48433,442433
1030,0.8,11,,,False,0.15625,38,0.4606807446230647,13.432456731796265,0.3259727954864502,401000,48433,449433
1031,0.8,11,,,False,0.15625,39,0.4021886828865724,13.758586645126345,0.3258759975433349,408000,48433,456433
